,full_name,team,position,height,inches,weight,birth_date,age,years_exp,college,number,nflfastr_name
29,Abdullah Anderson,CHI,DE,"6'3""",75,297,1996-01-24,24.0,2.0,Bucknell,76,A.Anderson
30,Abry Jones,JAX,NT,"6'4""",76,318,1991-09-08,28.0,7.0,Georgia,95,A.Jones
31,Adam Butler,NE,DT,"6'5""",77,300,1994-04-12,26.0,3.0,Vanderbilt,70,A.Butler
32,Adam Gotsis,JAX,DE,"6'4""",76,287,1992-09-23,27.0,4.0,Georgia Tech,96,A.Gotsis
33,Adam Humphries,TEN,WR,"5'11""",71,195,1993-06-24,27.0,5.0,Clemson,10,A.Humphries
34,Adam Pankey,MIA,G,"6'5""",77,313,1994-02-02,26.0,3.0,West Virginia,78,A.Pankey
35,Adam Redmond,DAL,C,"6'6""",78,300,1993-05-19,27.0,4.0,Harvard,61,A.Redmond
36,Adam Shaheen,MIA,TE,"6'6""",78,257,1994-10-24,25.0,3.0,Ashland,87,A.Shaheen
37,Adam Thielen,MIN,WR,"6'2""",74,200,1990-08-22,30.0,7.0,Minnesota State-Mankato,19,A.Thielen
38,Adam Trautman,NO,TE,"6'5""",77,255,1997-02-05,23.0,0.0,Dayton,82,A.Trautman
39,Adarius Taylor,CAR,OLB,"6'1""",73,215,1990-09-21,29.0,6.0,Florida Atlantic,47,A.Taylor
40,Ade Aruna,LV,DE,"6'5""",77,263,1994-04-27,26.0,2.0,Tulane,79,A.Aruna
41,Adonis Alexander,LA,CB,"6'3""",75,205,1996-11-07,23.0,2.0,Virginia Tech,36,A.Alexander
42,Adoree' Jackson,TEN,CB,"5'11""",71,185,1995-09-18,24.0,3.0,USC,25,A.Jackson
43,Adrian Amos,GB,FS,"6'0""",72,214,1993-04-29,27.0,5.0,Penn State,31,A.Amos
44,Adrian Clayborn,CLE,DE,"6'3""",75,280,1988-07-06,32.0,9.0,Iowa,94,A.Clayborn
45,Adrian Killins Jr.,PHI,RB,"5'8""",68,177,1998-01-02,22.0,0.0,Central Florida,46,A.KillinsJr.
46,Adrian Peterson,WAS,RB,"6'1""",73,220,1985-03-21,35.0,13.0,Oklahoma,26,A.Peterson
47,Adrian Phillips,NE,SS,"5'11""",71,210,1992-03-28,28.0,6.0,Texas,21,A.Phillips
48,Ahkello Witherspoon,SF,CB,"6'2""",74,195,1995-03-21,25.0,3.0,Colorado,23,A.Witherspoon
49,Ahmad Wagner,CHI,WR,"6'5""",77,234,1996-12-21,23.0,0.0,Kentucky,2,A.Wagner
50,Akeem Davis-Gaither,CIN,LB,"6'1""",73,224,1997-09-21,22.0,0.0,Appalachian State,59,A.Davis-Gaither
51,Akiem Hicks,CHI,DT,"6'4""",76,352,1989-11-16,30.0,8.0,Regina (Canada),96,A.Hicks
52,Al Riles,IND,WR,"5'10""",70,212,1993-09-17,24.0,1.0,LA-Lafayette,3,A.Riles
53,Al Woods,JAX,DT,"6'4""",76,314,1987-03-25,33.0,10.0,LSU,97,A.Woods
54,Al-Quadin Muhammad,IND,DE,"6'4""",76,250,1995-03-28,25.0,3.0,Miami (FL),97,A.Muhammad
55,Albert Huggins,HOU,DT,"6'3""",75,305,1997-06-27,23.0,1.0,Clemson,67,A.Huggins
56,Albert Okwuegbunam,DEN,TE,"6'5""",77,258,1998-04-25,22.0,0.0,Missouri,85,A.Okwuegbunam
57,Albert Wilson,MIA,WR,"5'9""",69,195,1992-07-12,28.0,6.0,Georgia State,15,A.Wilson
58,Aldon Smith,DAL,OLB,"6'4""",76,265,1989-09-25,30.0,9.0,Missouri,58,A.Smith
59,Alec Ingold,LV,FB,"6'1""",73,240,1996-07-09,24.0,1.0,Wisconsin,45,A.Ingold
60,Alejandro Villanueva,PIT,OT,"6'9""",81,320,1988-09-22,31.0,6.0,Army,78,A.Villanueva
61,Alex Anzalone,NO,ILB,"6'3""",75,241,1994-09-22,25.0,3.0,Florida,47,A.Anzalone
62,Alex Armah,CAR,FB,"6'2""",74,255,1994-05-17,26.0,3.0,West Georgia,40,A.Armah
63,Alex Bachman,NYG,WR,"6'0""",72,190,1996-05-29,24.0,1.0,Wake Forest,80,A.Bachman
64,Alex Bars,CHI,OT,"6'5""",77,314,1995-09-08,24.0,1.0,Notre Dame,64,A.Bars
65,Alex Brown,KC,CB,"5'11""",71,170,1996-08-30,23.0,1.0,South Carolina State,30,A.Brown
66,Alex Cappa,TB,G,"6'6""",78,305,1995-01-27,25.0,2.0,Humboldt State,65,A.Cappa
67,Alex Erickson,CIN,WR,"6'0""",72,195,1992-11-06,27.0,4.0,Wisconsin,12,A.Erickson
68,Alex Gray,TB,FS,"6'2""",74,222,1993-09-15,23.0,0.0,Appalachian State,34,A.Gray
69,Alex Highsmith,PIT,LB,"6'4""",76,242,1997-08-07,23.0,0.0,Charlotte,56,A.Highsmith
70,Alex Lewis,NYJ,G,"6'6""",78,305,1992-04-21,28.0,4.0,Nebraska,71,A.Lewis
71,Alex Light,GB,OT,"6'5""",77,309,1996-05-02,24.0,2.0,Richmond,70,A.Light
72,Alex Mack,ATL,C,"6'4""",76,311,1985-11-19,34.0,11.0,California,51,A.Mack
73,Alex McGough,HOU,QB,"6'3""",75,214,1995-11-19,24.0,2.0,Florida International,3,A.McGough
74,Alex Officer,KC,C,"6'4""",76,335,1995-10-28,22.0,0.0,None,63,A.Officer
75,Alex Okafor,KC,DE,"6'4""",76,261,1991-02-08,29.0,7.0,Texas,97,A.Okafor
76,Alex Redmond,CIN,G,"6'5""",77,320,1995-01-18,25.0,4.0,UCLA,62,A.Redmond
77,Alex Singleton,PHI,OLB,"6'2""",74,240,1993-12-07,26.0,5.0,Montana State,49,A.Singleton
78,Alex Smith,WAS,QB,"6'4""",76,213,1984-05-07,36.0,15.0,Utah,11,A.Smith
79,Alex Tanney,NYG,QB,"6'4""",76,220,1987-11-11,32.0,8.0,Monmouth (IL),3,A.Tanney
80,Alex Taylor,CLE,OT,"6'8""",80,301,1997-04-29,23.0,0.0,South Carolina State,67,A.Taylor
81,Alexander Hollins,MIN,WR,"6'1""",73,166,1996-11-24,23.0,1.0,Eastern Illinois,15,A.Hollins
82,Alexander Johnson,DEN,ILB,"6'2""",74,255,1991-12-24,28.0,2.0,Tennessee,45,A.Johnson
83,Alexander Mattison,MIN,RB,"5'11""",71,220,1998-06-19,22.0,1.0,Boise State,25,A.Mattison
84,Alexander Myres,PIT,CB,"5'11""",71,192,1996-04-20,24.0,1.0,Houston,35,A.Myres
85,Ali Marpet,TB,G,"6'4""",76,307,1993-04-17,27.0,5.0,Hobart,74,A.Marpet
86,Alijah Holder,DEN,CB,"6'2""",74,188,1996-01-26,24.0,1.0,Stanford,49,A.Holder
87,Allen Bailey,ATL,DE,"6'3""",75,288,1989-03-25,31.0,9.0,Miami (FL),93,A.Bailey
88,Allen Hurns,MIA,WR,"6'3""",75,195,1991-11-12,28.0,6.0,Miami (FL),17,A.Hurns
89,Allen Lazard,GB,WR,"6'5""",77,227,1995-12-11,24.0,2.0,Iowa State,13,A.Lazard
90,Allen Robinson II,CHI,WR,"6'2""",74,220,1993-08-24,26.0,6.0,Penn State,12,A.RobinsonII
91,Alohi Gilman,LAC,S,"5'11""",71,201,1997-09-17,22.0,0.0,Notre Dame,32,A.Gilman
92,Alshon Jeffery,PHI,WR,"6'3""",75,218,1990-02-14,30.0,8.0,South Carolina,17,A.Jeffery
93,Alton Robinson,SEA,DE,"6'3""",75,259,1998-06-02,22.0,0.0,Syracuse,98,A.Robinson
94,Alvin Kamara,NO,RB,"5'10""",70,215,1995-07-25,25.0,3.0,Tennessee,41,A.Kamara
95,Amani Hooker,TEN,FS,"5'11""",71,210,1998-06-14,22.0,1.0,Iowa,37,A.Hooker
96,Amani Oruwariye,DET,CB,"6'2""",74,205,1996-02-09,24.0,1.0,Penn State,24,A.Oruwariye
97,Amara Darboh,PIT,WR,"6'2""",74,215,1994-02-01,26.0,3.0,Michigan,82,A.Darboh
98,Amari Cooper,DAL,WR,"6'1""",73,210,1994-06-17,26.0,5.0,Alabama,19,A.Cooper
99,Amari Henderson,JAX,CB,"6'1""",73,180,1997-09-08,22.0,0.0,Wake Forest,38,A.Henderson
100,Ameer Abdullah,MIN,RB,"5'9""",69,203,1993-06-13,27.0,5.0,Nebraska,31,A.Abdullah
101,Amik Robertson,LV,CB,"5'8""",68,187,1998-07-06,22.0,0.0,Louisiana Tech,41,A.Robertson
102,Andre Dillard,PHI,OT,"6'5""",77,315,1995-10-03,24.0,1.0,Washington State,77,A.Dillard
103,Andre James,LV,C,"6'4""",76,300,1997-05-02,23.0,1.0,UCLA,68,A.James
104,Andre Roberts,BUF,WR,"5'11""",71,195,1988-01-09,32.0,10.0,The Citadel,18,A.Roberts
105,Andre Smith,BAL,OT,"6'4""",76,325,1987-01-25,33.0,11.0,Alabama,76,A.Smith
106,Andre Smith,CAR,ILB,"6'0""",72,240,1997-04-20,23.0,2.0,North Carolina,57,A.Smith
107,Andrew Adams,TB,SS,"5'11""",71,205,1992-10-28,27.0,4.0,Connecticut,26,A.Adams
108,Andrew Beck,DEN,TE,"6'3""",75,255,1996-05-15,24.0,1.0,Texas,83,A.Beck
109,Andrew Billings,CLE,NT,"6'1""",73,328,1995-03-06,25.0,4.0,Baylor,99,A.Billings
110,Andrew Brown,CIN,DE,"6'3""",75,290,1995-12-30,24.0,2.0,Virginia,93,A.Brown
111,Andrew Donnal,IND,OT,"6'6""",78,305,1992-03-03,28.0,5.0,Iowa,76,A.Donnal
112,Andrew Dowell,NO,LB,"6'1""",73,225,1996-11-16,23.0,1.0,Michigan State,50,A.Dowell
113,Andrew Norwell,JAX,G,"6'6""",78,325,1991-10-25,28.0,6.0,Ohio State,68,A.Norwell
114,Andrew Sendejo,CLE,FS,"6'1""",73,210,1987-09-09,32.0,10.0,Rice,23,A.Sendejo
115,Andrew Thomas,NYG,OT,"6'5""",77,315,1999-01-22,21.0,0.0,Georgia,78,A.Thomas
116,Andrew Van Ginkel,MIA,OLB,"6'4""",76,242,1995-07-01,25.0,1.0,Wisconsin,43,A.VanGinkel
117,Andrew Whitworth,LA,OT,"6'7""",79,330,1981-12-12,38.0,14.0,LSU,77,A.Whitworth
118,Andrew Wingard,JAX,FS,"6'0""",72,209,1996-12-05,23.0,1.0,Wyoming,42,A.Wingard
119,Andrew Wylie,KC,G,"6'6""",78,309,1994-08-19,26.0,3.0,Eastern Michigan,77,A.Wylie
120,Andrus Peat,NO,G,"6'7""",79,316,1993-11-04,26.0,5.0,Stanford,75,A.Peat
121,Andy Dalton,DAL,QB,"6'2""",74,220,1987-10-29,32.0,9.0,TCU,14,A.Dalton
122,Andy Isabella,ARI,WR,"5'9""",69,188,1996-11-18,23.0,1.0,Massachusetts,89,A.Isabella
123,Andy Janovich,CLE,FB,"6'1""",73,238,1993-05-23,27.0,4.0,Nebraska,31,A.Janovich
124,Andy Lee,ARI,P,"6'1""",73,185,1982-08-11,38.0,16.0,Pittsburgh,4,A.Lee
125,Anfernee Jennings,NE,LB,"6'3""",75,259,1998-05-01,22.0,0.0,Alabama,33,A.Jennings
126,Angelo Blackson,HOU,DE,"6'4""",76,319,1992-11-14,27.0,5.0,Auburn,97,A.Blackson
127,Anthony Averett,BAL,CB,"5'11""",71,178,1994-11-30,25.0,2.0,Alabama,23,A.Averett
128,Anthony Barr,MIN,OLB,"6'5""",77,255,1992-03-18,28.0,6.0,UCLA,55,A.Barr
129,Anthony Brown,DAL,CB,"5'11""",71,196,1993-12-15,26.0,4.0,Purdue,30,A.Brown
130,Anthony Castonzo,IND,OT,"6'7""",79,307,1988-08-09,32.0,9.0,Boston College,74,A.Castonzo
131,Anthony Chesley,HOU,CB,"6'0""",72,190,1995-05-31,25.0,1.0,Coastal Carolina,43,A.Chesley
132,Anthony Chickillo,NO,OLB,"6'3""",75,255,1992-12-10,27.0,5.0,Miami (FL),58,A.Chickillo
133,Anthony Coyle,PIT,G,"6'4""",76,298,1996-09-19,23.0,2.0,Fordham,68,A.Coyle
134,Anthony Fabiano,TB,C,"6'4""",76,303,1993-07-13,27.0,4.0,Harvard,77,A.Fabiano
135,Anthony Firkser,TEN,TE,"6'2""",74,246,1995-02-19,25.0,3.0,Harvard,86,A.Firkser
136,Anthony Gordon,SEA,QB,"6'2""",74,201,1996-08-28,23.0,0.0,Washington State,6,A.Gordon
137,Anthony Harrell,BUF,ILB,"6'1""",73,245,1993-03-15,24.0,0.0,Florida,49,A.Harrell
138,Anthony Harris,MIN,FS,"6'1""",73,202,1991-10-09,28.0,5.0,Virginia,41,A.Harris
139,Anthony Hitchens,KC,LB,"6'0""",72,235,1992-06-10,28.0,6.0,Iowa,53,A.Hitchens
140,Anthony Johnson,PIT,WR,"6'2""",74,220,1995-01-29,25.0,1.0,Buffalo,83,A.Johnson
141,Anthony Levine Sr.,BAL,SS,"5'11""",71,207,1987-03-27,33.0,10.0,Tennessee State,41,A.LevineSr.
142,Anthony McFarland Jr.,PIT,RB,"5'8""",68,193,1999-03-04,21.0,0.0,Maryland,26,A.McFarlandJr.
143,Anthony McKinney,TEN,OT,"6'7""",79,316,1997-10-25,22.0,0.0,TCU,61,A.McKinney
144,Anthony Miller,CHI,WR,"5'11""",71,199,1994-10-09,25.0,2.0,Memphis,17,A.Miller
145,Anthony Nelson,TB,OLB,"6'7""",79,271,1997-03-04,23.0,1.0,Iowa,98,A.Nelson
146,Anthony Pittman,DET,OLB,"6'3""",75,240,1996-11-24,23.0,1.0,Wayne State (MI),57,A.Pittman
147,Anthony Rush,PHI,DT,"6'5""",77,350,1996-09-01,23.0,1.0,Alabama-Birmingham,66,A.Rush
148,Anthony Sherman,KC,FB,"5'10""",70,242,1988-12-11,31.0,9.0,Connecticut,42,A.Sherman
149,Anthony Walker,IND,ILB,"6'1""",73,230,1995-08-08,25.0,3.0,Northwestern,54,A.Walker
150,Anthony Zettel,MIN,DE,"6'4""",76,275,1992-08-09,28.0,4.0,Penn State,92,A.Zettel
151,Antoine Brooks Jr.,PIT,S,"5'11""",71,210,1997-10-28,22.0,0.0,Maryland,25,A.BrooksJr.
152,Antoine Wesley,BAL,WR,"6'4""",76,206,1997-10-22,22.0,1.0,Texas Tech,84,A.Wesley
153,Antoine Winfield Jr.,TB,S,"5'10""",70,205,1998-08-16,22.0,0.0,Minnesota,31,A.WinfieldJr.
154,Antonio Gandy-Golden,WAS,WR,"6'4""",76,223,1998-04-11,22.0,0.0,Liberty,10,A.Gandy-Golden
155,Antonio Gibson,WAS,RB,"6'0""",72,228,1998-06-23,22.0,0.0,Memphis,24,A.Gibson
156,Antonio Hamilton,KC,CB,"6'0""",72,195,1993-01-24,27.0,4.0,South Carolina State,20,A.Hamilton
157,Antony Auclair,TB,TE,"6'6""",78,256,1993-05-28,27.0,3.0,Laval (Canada),82,A.Auclair
158,Antwaun Woods,DAL,DT,"6'1""",73,318,1993-01-03,27.0,4.0,USC,99,A.Woods
159,Arden Key,LV,DE,"6'5""",77,240,1996-05-03,24.0,2.0,LSU,99,A.Key
160,Arik Armstead,SF,DE,"6'7""",79,292,1993-11-15,26.0,5.0,Oregon,91,A.Armstead
161,Arlington Hambright,CHI,OL,"6'5""",77,300,1996-01-30,24.0,0.0,Colorado,71,A.Hambright
162,Armani Watts,KC,FS,"5'11""",71,205,1996-03-19,24.0,2.0,Texas A&M,23,A.Watts
163,Armon Watts,MIN,NT,"6'5""",77,295,1996-07-22,24.0,1.0,Arkansas,96,A.Watts
164,Arryn Siposs,DET,P,"6'2""",74,212,1992-11-25,27.0,0.0,Auburn,2,A.Siposs
165,Artavis Pierce,CHI,RB,"5'11""",71,208,1996-05-17,24.0,0.0,Oregon State,37,A.Pierce
166,Artavis Scott,IND,WR,"5'11""",71,195,1994-10-12,25.0,3.0,Clemson,1,A.Scott
167,Arthur Maulet,NYJ,CB,"5'10""",70,190,1993-07-13,27.0,3.0,Memphis,23,A.Maulet
168,Artie Burns,CHI,CB,"6'0""",72,197,1995-05-01,25.0,4.0,Miami (FL),25,A.Burns
169,Ashton Dulin,IND,WR,"6'1""",73,215,1997-05-15,23.0,1.0,Malone,16,A.Dulin
170,Ashtyn Davis,NYJ,S,"6'1""",73,202,1996-10-10,23.0,0.0,California,32,A.Davis
171,Asmar Bilal,LAC,LB,"6'2""",74,227,1997-04-12,23.0,0.0,Notre Dame,57,A.Bilal
172,Auden Tate,CIN,WR,"6'5""",77,228,1997-02-03,23.0,2.0,Georgia,19,A.Tate
173,Austen Pleasants,JAX,OL,"6'7""",79,312,1997-08-22,23.0,0.0,Ohio,64,A.Pleasants
174,Austin Albrecht,TB,OL,"6'5""",77,295,1993-05-06,24.0,0.0,Utah State,72,A.Albrecht
175,Austin Blythe,LA,G,"6'3""",75,298,1992-06-16,28.0,4.0,Iowa,66,A.Blythe
176,Austin Bryant,DET,DE,"6'6""",78,261,1996-11-12,23.0,1.0,Clemson,94,A.Bryant
177,Austin Calitro,CIN,OLB,"6'0""",72,240,1994-01-10,26.0,3.0,Villanova,47,A.Calitro
178,Austin Carr,NO,WR,"6'1""",73,195,1993-12-25,26.0,3.0,Northwestern,80,A.Carr
179,Austin Corbett,LA,G,"6'4""",76,306,1995-09-05,24.0,2.0,Nevada,63,A.Corbett
180,Austin Cutting,MIN,LS,"6'3""",75,245,1996-10-27,23.0,1.0,Air Force,58,A.Cutting
181,Austin Edwards,ATL,DE,"6'5""",77,280,1997-08-27,22.0,0.0,Ferris State,95,A.Edwards
182,Austin Ekeler,LAC,RB,"5'10""",70,200,1995-05-17,25.0,3.0,Western State (CO),30,A.Ekeler
183,Austin Fort,DEN,TE,"6'4""",76,244,1995-05-14,25.0,1.0,Wyoming,89,A.Fort
184,Austin Golson,NYJ,C,"6'4""",76,307,1995-07-09,23.0,0.0,None,63,A.Golson
185,Austin Hooper,CLE,TE,"6'4""",76,254,1994-10-29,25.0,4.0,Stanford,81,A.Hooper
186,Austin Jackson,MIA,OT,"6'5""",77,317,1999-05-17,21.0,0.0,USC,73,A.Jackson
187,Austin Johnson,NYG,NT,"6'4""",76,314,1994-05-08,26.0,4.0,Penn State,98,A.Johnson
188,Austin MacGinnis,LA,K,"5'10""",70,185,1995-05-04,25.0,0.0,Kentucky,8,A.MacGinnis
189,Austin Mack,NYG,WR,"6'2""",74,215,1997-08-31,22.0,0.0,Ohio State,81,A.Mack
190,Austin Reiter,KC,C,"6'3""",75,300,1991-11-27,28.0,5.0,South Florida,62,A.Reiter
191,Austin Schlottmann,DEN,G,"6'6""",78,300,1995-09-18,24.0,2.0,TCU,71,A.Schlottmann
192,Austin Seibert,CLE,K,"5'9""",69,211,1996-11-15,23.0,1.0,Oklahoma,4,A.Seibert
193,Auzoyah Alufohai,HOU,NT,"6'4""",76,320,1996-10-16,23.0,0.0,West Georgia,98,A.Alufohai
194,Avery Gennesy,TEN,G,"6'5""",77,318,1994-02-06,26.0,3.0,Texas A&M,67,A.Gennesy
195,Avery Williamson,NYJ,ILB,"6'1""",73,246,1992-03-09,28.0,6.0,Kentucky,54,A.Williamson
196,Aviante Collins,MIN,OT,"6'4""",76,292,1993-04-21,27.0,3.0,TCU,76,A.Collins
197,Avonte Maddox,PHI,CB,"5'9""",69,184,1996-03-31,24.0,2.0,Pittsburgh,29,A.Maddox
198,Azeez Al-Shaair,SF,ILB,"6'2""",74,228,1997-08-04,23.0,1.0,Florida Atlantic,51,A.Al-Shaair
199,B.J. Bello,NYJ,ILB,"6'3""",75,229,1994-10-31,25.0,3.0,Illinois State,49,B.Bello
200,B.J. Finney,SEA,C,"6'4""",76,318,1991-10-26,28.0,5.0,Kansas State,67,B.Finney
201,B.J. Goodson,CLE,ILB,"6'1""",73,242,1993-05-29,27.0,4.0,Clemson,93,B.Goodson
202,B.J. Hill,NYG,DE,"6'3""",75,311,1995-04-20,25.0,2.0,North Carolina State,95,B.Hill
203,Baker Mayfield,CLE,QB,"6'1""",73,215,1995-04-14,25.0,2.0,Oklahoma,6,B.Mayfield
204,Barkevious Mingo,CHI,OLB,"6'5""",77,235,1990-10-04,29.0,7.0,LSU,50,B.Mingo
205,Barrett Burns,BAL,TE,"6'4""",76,250,1994-03-16,23.0,1.0,Appalachian State,0,B.Burns
206,Bashaud Breeland,KC,CB,"5'11""",71,195,1992-01-30,28.0,6.0,Clemson,21,B.Breeland
207,Beau Allen,NE,DT,"6'3""",75,327,1991-11-14,28.0,6.0,Wisconsin,94,B.Allen
208,Beau Benzschawel,DET,C,"6'6""",78,300,1995-09-10,24.0,1.0,Wisconsin,63,B.Benzschawel
209,Beau Brinkley,TEN,LS,"6'4""",76,260,1990-01-25,30.0,8.0,Missouri,48,B.Brinkley
210,Ben Banogu,IND,DE,"6'3""",75,252,1996-01-19,24.0,1.0,TCU,52,B.Banogu
211,Ben Bartch,JAX,OL,"6'6""",78,309,1998-07-22,22.0,0.0,St. John's (MN),78,B.Bartch
212,Ben Bredeson,BAL,G,"6'5""",77,315,1999-02-20,21.0,0.0,Michigan,67,B.Bredeson
213,Ben Burr-Kirven,SEA,OLB,"6'0""",72,230,1997-09-08,22.0,1.0,Washington,55,B.Burr-Kirven
214,Ben DiNucci,DAL,QB,"6'3""",75,210,1996-11-24,23.0,0.0,James Madison,1,B.DiNucci
215,Ben Garland,SF,C,"6'5""",77,308,1988-04-06,32.0,10.0,Air Force,63,B.Garland
216,Ben Gedeon,MIN,OLB,"6'2""",74,244,1994-10-16,25.0,3.0,Michigan,42,B.Gedeon
217,Ben Jones,TEN,C,"6'3""",75,308,1989-07-02,31.0,8.0,Georgia,60,B.Jones
218,Ben Niemann,KC,LB,"6'2""",74,235,1995-07-27,25.0,2.0,Iowa,56,B.Niemann
219,Ben Powers,BAL,G,"6'4""",76,310,1996-10-29,23.0,1.0,Oklahoma,72,B.Powers
220,Ben Roethlisberger,PIT,QB,"6'5""",77,240,1982-03-02,38.0,16.0,Miami (OH),7,B.Roethlisberger
221,Benardrick McKinney,HOU,ILB,"6'4""",76,257,1992-11-19,27.0,5.0,Mississippi State,55,B.McKinney
222,Benito Jones,MIA,DT,"6'1""",73,316,1997-11-27,22.0,0.0,Mississippi,95,B.Jones
223,Bennett Jackson,NYJ,CB,"6'0""",72,192,1991-09-16,28.0,6.0,Notre Dame,39,B.Jackson
224,Bennie Fowler,NO,WR,"6'1""",73,217,1991-06-10,29.0,6.0,Michigan State,18,B.Fowler
225,Benny Lemay,CLE,RB,"5'8""",68,216,1997-10-18,22.0,0.0,Charlotte,36,B.Lemay
226,Benny Snell Jr.,PIT,RB,"5'10""",70,224,1998-02-27,22.0,1.0,Kentucky,24,B.SnellJr.
227,Benson Mayowa,SEA,DE,"6'3""",75,265,1991-08-03,29.0,7.0,Idaho,99,B.Mayowa
228,Bilal Nichols,CHI,DE,"6'3""",75,313,1996-09-14,23.0,2.0,Delaware,98,B.Nichols
229,Bill Murray,NE,DT,"6'4""",76,280,1997-07-03,23.0,0.0,William & Mary,69,B.Murray
230,Billy Price,CIN,C,"6'4""",76,310,1994-10-11,25.0,2.0,Ohio State,53,B.Price
231,Billy Turner,GB,G,"6'5""",77,310,1991-10-17,28.0,6.0,North Dakota State,77,B.Turner
232,Binjimen Victor,NYG,WR,"6'4""",76,199,1997-01-15,23.0,0.0,Ohio State,9,B.Victor
233,Bisi Johnson,MIN,WR,"6'0""",72,204,1997-03-17,23.0,1.0,Colorado State,81,B.Johnson
234,Blaine Gabbert,TB,QB,"6'4""",76,235,1989-10-15,30.0,9.0,Missouri,11,B.Gabbert
235,Blake Bell,DAL,TE,"6'6""",78,252,1991-08-07,29.0,5.0,Oklahoma,80,B.Bell
236,Blake Cashman,NYJ,ILB,"6'1""",73,237,1996-05-10,24.0,1.0,Minnesota,53,B.Cashman
237,Blake Ferguson,MIA,LS,"6'3""",75,226,1997-04-21,23.0,0.0,LSU,50,B.Ferguson
238,Blake Gillikin,NO,P,"6'2""",74,196,1998-01-21,22.0,0.0,Penn State,4,B.Gillikin
239,Blake Hance,JAX,OT,"6'5""",77,310,1996-01-11,24.0,1.0,Northwestern,72,B.Hance
240,Blake Jarwin,DAL,TE,"6'5""",77,260,1994-07-16,26.0,3.0,Oklahoma State,89,B.Jarwin
241,Blake Lynch,MIN,LB,"6'3""",75,225,1999-01-20,21.0,0.0,Baylor,48,B.Lynch
242,Blake Martinez,NYG,ILB,"6'2""",74,237,1994-01-09,26.0,4.0,Stanford,54,B.Martinez
